participant,participant_age,Image_ID,Image_actual_age,Image_age,Image_emotion,age_resp,age_resp_rt
707,21,Y_71F,20,young,neutral,33,8.459725
707,21,Y_54M,26,young,happy,36,6.393915
707,21,O_65M,65,old,neutral,78,2.38304
707,21,Y_1M,19,young,angry,28,5.505075
707,21,Y_58M,22,young,neutral,25,4.56277
707,21,O_23F,66,old,angry,75,3.183265
707,21,O_28F,64,old,angry,77,4.87606
707,21,O_08M,65,old,angry,67,3.598525
707,21,Y_72F,25,young,neutral,40,5.979385
707,21,Y_14F,21,young,angry,30,6.008505
707,21,O_58M,64,old,happy,60,2.9307
707,21,O_29F,63,old,angry,58,7.1101
707,21,Y_75M,30,young,neutral,43,3.063785
707,21,O_67M,61,old,neutral,58,12.601125
707,21,O_21M,65,old,happy,63,4.24164
707,21,O_17M,69,old,angry,62,6.078835
707,21,O_43F,62,old,happy,56,7.756115
707,21,Y_27M,23,young,angry,34,6.429375
707,21,Y_48F,23,young,happy,32,9.8761
707,21,Y_11M,20,young,angry,26,6.869205
707,21,Y_12F,18,young,angry,27,7.27849
707,21,Y_6F,23,young,neutral,25,5.696515
707,21,Y_46M,18,young,happy,43,5.67606
707,21,Y_40F,28,young,happy,33,43.325595
707,21,O_48F,65,old,neutral,64,6.4298
707,21,O_47F,60,old,neutral,53,4.77671
707,21,O_42M,75,old,happy,67,8.824735
707,21,O_50M,65,old,happy,74,12.472565
707,21,O_15M,69,old,angry,74,11.42171
707,21,O_40F,61,old,happy,66,39.64679
708,20,O_23F,66,old,angry,69,8.5157
708,20,O_28F,64,old,angry,62,6.0929
708,20,O_20M,65,old,angry,66,12.541
708,20,O_17M,69,old,angry,58,3.1611
708,20,Y_40F,28,young,happy,33,4.5609
708,20,Y_28M,20,young,happy,34,5.3645
708,20,O_67M,61,old,neutral,50,3.499
708,20,O_65M,65,old,neutral,58,2.6607
708,20,Y_4F,19,young,happy,23,3.9104
708,20,Y_66F,26,young,happy,23,2.3498
708,20,Y_55M,24,young,neutral,29,4.0772
708,20,O_21M,65,old,happy,55,3.2094
